iter	Passed	Remaining
1285	15697	289465
1286	15709	289449
1287	15721	289425
1288	15732	289406
1289	15744	289384
1290	15756	289361
1291	15768	289340
1292	15779	289312
1293	15791	289291
1294	15803	289275
1295	15815	289261
1296	15827	289255
1297	15839	289243
1298	15852	289235
1299	15864	289217
1300	15875	289194
1301	15887	289169
1302	15898	289145
1303	15910	289120
1304	15921	289095
1305	15933	289072
1306	15945	289049
1307	15958	289051
1308	15971	289054
1309	15984	289056
1310	15997	289059
1311	16010	289071
1312	16026	289115
1313	16040	289140
1314	16054	289155
1315	16067	289166
1316	16079	289144
1317	16092	289151
1318	16106	289163
1319	16120	289183
1320	16133	289185
1321	16145	289183
1322	16159	289190
1323	16172	289193
1324	16185	289199
1325	16198	289198
1326	16211	289201
1327	16225	289219
1328	16238	289229
1329	16252	289237
1330	16264	289236
1331	16277	289228
1332	16289	289217
1333	16301	289203
1334	16314	289192
1335	16326	289184
1336	16339	289181
1337	16351	289175
1338	16364	289165
1339	16376	289155
1340	16388	289144
1341	16400	289128
1342	16412	289110
1343	16425	289104
1344	16438	289108
1345	16451	289110
1346	16464	289111
1347	16476	289102
1348	16489	289097
1349	16501	289088
1350	16514	289083
1351	16527	289077
1352	16539	289060
1353	16551	289051
1354	16563	289037
1355	16576	289032
1356	16588	289024
1357	16601	289018
1358	16613	289003
1359	16625	288986
1360	16638	288987
1361	16651	288986
1362	16663	288984
1363	16675	288967
1364	16688	288960
1365	16700	288947
1366	16713	288939
1367	16725	288936
1368	16738	288925
1369	16750	288914
1370	16762	288900
1371	16774	288885
1372	16786	288873
1373	16799	288865
1374	16812	288864
1375	16824	288849
1376	16837	288853
1377	16850	288856
1378	16863	288852
1379	16876	288850
1380	16888	288842
1381	16900	288829
1382	16913	288821
1383	16925	288804
1384	16937	288795
1385	16950	288798
1386	16962	288784
1387	16974	288764
1388	16986	288741
1389	16997	288720
1390	17009	288700
1391	17022	288694
1392	17035	288693
1393	17047	288684
1394	17060	288678
1395	17072	288666
1396	17084	288658
1397	17096	288643
1398	17108	288618
1399	17120	288602
1400	17131	288576
1401	17143	288549
1402	17154	288528
1403	17167	288519
1404	17179	288503
1405	17190	288471
1406	17202	288457
1407	17215	288463
1408	17229	288477
1409	17243	288494
1410	17257	288502
1411	17270	288504
1412	17283	288506
1413	17296	288512
1414	17309	288515
1415	17322	288516
1416	17335	288520
1417	17349	288524
1418	17362	288532
1419	17375	288533
1420	17388	288535
1421	17402	288542
1422	17415	288552
1423	17429	288572
1424	17444	288592
1425	17457	288603
1426	17471	288610
1427	17483	288607
1428	17497	288613
1429	17510	288619
1430	17524	288627
1431	17537	288628
1432	17550	288633
1433	17563	288641
1434	17577	288648
1435	17590	288652
1436	17603	288653
1437	17617	288666
1438	17632	288697
1439	17645	288705
1440	17659	288712
1441	17672	288711
1442	17685	288712
1443	17698	288714
1444	17711	288717
1445	17725	288725
1446	17738	288727
1447	17751	288726
1448	17764	288728
1449	17777	288733
1450	17791	288743
1451	17804	288745
1452	17818	288756
1453	17831	288770
1454	17845	288782
1455	17859	288786
1456	17872	288786
1457	17885	288793
1458	17898	288789
1459	17911	288798
1460	17925	288802
1461	17937	288785
1462	17948	288766
1463	17960	288742
1464	17972	288717
1465	17983	288692
1466	17994	288666
1467	18007	288659
1468	18019	288649
1469	18032	288642
1470	18044	288627
1471	18056	288607
1472	18068	288596
1473	18080	288576
1474	18091	288546
1475	18103	288535
1476	18117	288548
1477	18131	288550
1478	18144	288551
1479	18157	288560
1480	18171	288566
1481	18184	288566
1482	18197	288569
1483	18210	288577
1484	18224	288590
1485	18238	288597
1486	18252	288609
1487	18265	288611
1488	18278	288618
1489	18291	288619
1490	18305	288621
1491	18318	288624
1492	18331	288625
1493	18344	288630
1494	18358	288636
1495	18371	288637
1496	18384	288640
1497	18397	288643
1498	18411	288651
1499	18425	288671
1500	18439	288677
1501	18452	288685
1502	18465	288686
1503	18479	288692
1504	18492	288692
1505	18506	288700
1506	18518	288697
1507	18532	288701
1508	18545	288698
1509	18558	288703
1510	18571	288697
1511	18584	288702
1512	18598	288710
1513	18612	288725
1514	18626	288733
1515	18639	288741
1516	18652	288743
1517	18665	288744
1518	18679	288744
1519	18692	288745
1520	18705	288748
1521	18719	288755
1522	18732	288755
1523	18745	288761
1524	18759	288767
1525	18772	288768
1526	18785	288773
1527	18799	288778
1528	18812	288785
1529	18825	288786
1530	18839	288791
1531	18852	288798
1532	18866	288804
1533	18879	288811
1534	18892	288808
1535	18905	288801
1536	18917	288781
1537	18929	288762
1538	18941	288743
1539	18953	288726
1540	18964	288703
1541	18976	288679
1542	18988	288668
1543	19001	288672
1544	19014	288656
1545	19025	288637
1546	19037	288615
1547	19049	288592
1548	19060	288566
1549	19072	288541
1550	19083	288514
1551	19095	288492
1552	19106	288467
1553	19118	288457
1554	19131	288456
1555	19145	288463
1556	19158	288460
1557	19171	288465
1558	19185	288475
1559	19199	288487
1560	19213	288491
1561	19227	288504
1562	19239	288500
1563	19253	288500
1564	19265	288497
1565	19279	288497
1566	19292	288503
1567	19306	288507
1568	19319	288513
1569	19332	288513
1570	19345	288514
1571	19359	288516
1572	19372	288521
1573	19386	288524
1574	19400	288537
1575	19413	288545
1576	19427	288554
1577	19440	288557
1578	19454	288562
1579	19467	288562
1580	19480	288565
1581	19494	288569
1582	19507	288575
1583	19520	288574
1584	19533	288571
1585	19546	288568
1586	19559	288563
1587	19572	288565
1588	19586	288570
1589	19600	288582
1590	19614	288599
1591	19628	288608
1592	19642	288619
1593	19656	288629
1594	19670	288638
1595	19683	288645
1596	19697	288654
1597	19711	288664
1598	19725	288671
1599	19739	288685
1600	19752	288690
1601	19765	288690
1602	19779	288691
1603	19793	288701
1604	19807	288715
1605	19820	288722
1606	19834	288726
1607	19847	288731
1608	19860	288729
1609	19874	288735
1610	19887	288738
1611	19899	288715
1612	19911	288703
1613	19923	288685
1614	19936	288674
1615	19948	288656
1616	19960	288636
1617	19972	288623
1618	19984	288606
1619	19996	288584
1620	20007	288557
1621	20019	288536
1622	20030	288512
1623	20043	288505
1624	20056	288507
1625	20068	288493
1626	20081	288482
1627	20093	288467
1628	20105	288454
1629	20118	288446
1630	20130	288430
1631	20143	288425
1632	20155	288409
1633	20169	288422
1634	20183	288429
1635	20197	288446
1636	20211	288451
1637	20225	288463
1638	20238	288467
1639	20252	288481
1640	20268	288507
1641	20282	288527
1642	20296	288540
1643	20310	288549
1644	20325	288566
1645	20339	288577
1646	20353	288590
1647	20367	288610
1648	20382	288628
1649	20396	288645
1650	20410	288657
1651	20424	288664
1652	20438	288679
1653	20452	288688
1654	20467	288706
1655	20481	288722
1656	20495	288731
1657	20509	288738
1658	20522	288739
1659	20536	288741
1660	20549	288738
1661	20562	288744
1662	20578	288776
1663	20592	288788
1664	20606	288801
1665	20620	288814
1666	20635	288828
1667	20649	288847
